target_class,class_flip,prediction_gain,avg_actionability,mask
0,1.0,0.9950238764286041,0.24328938871622086,both
1,0.8428742289543152,0.8493437469005585,0.33578750491142273,both
2,1.0,0.9988149404525757,0.3358526676893234,both
0,0.005434782709926367,0.0,0.0,none
1,0.0,0.0,0.0,none
2,0.0,0.0,0.0,none
0,0.21043477952480316,0.2161220982670784,0.10006119310855865,x_only
1,0.12414559349417686,0.128225177526474,0.13061057776212692,x_only
2,0.0,-1.1595781415962847e-05,0.14495106041431427,x_only
0,0.7779710292816162,0.7634165287017822,0.1432281881570816,y_only
1,0.5880895256996155,0.6001181602478027,0.20517689734697342,y_only
2,1.0,0.9996616840362549,0.19090160727500916,y_only
