target_class,class_flip,prediction_gain,avg_actionability
0,0.9999999824692222,0.9278390652993146,0.024565915412762585
1,0.9982242005712846,0.8204397892250734,0.022221882060608444
2,0.9953022529097164,0.80859475626665,0.03627848844317829
3,0.996597921147066,0.8945716759737801,0.03246856573969126
