target,mask_idx,mask_bits,mask_size,attempts,successes,success_rate,avg_pred_gain,avg_l1_residual,f0_mean_abs_change,f1_mean_abs_change,f2_mean_abs_change,f3_mean_abs_change,f4_mean_abs_change,f5_mean_abs_change,f6_mean_abs_change,f7_mean_abs_change,f8_mean_abs_change,f9_mean_abs_change,f10_mean_abs_change,f11_mean_abs_change,f12_mean_abs_change,f13_mean_abs_change,f14_mean_abs_change,f15_mean_abs_change,f16_mean_abs_change
0,0,10000000000000000,1,3258,724,0.2222222222222222,0.1187330969569872,0.20433230484973586,0.20433231070409016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,01000000000000000,1,3258,239,0.07335788827501534,0.03707282436340407,0.23101688733929282,0.0,0.23101689787713056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,00100000000000000,1,3258,1124,0.34499693063228976,0.2786535400053414,0.3084135986384327,0.0,0.0,0.3084135986384327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,3,00010000000000000,1,3258,3077,0.9444444444444444,0.8683953797473287,0.235744243315058,0.0,0.0,0.0,0.2357442643907335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,4,00001000000000000,1,3258,165,0.05064456721915286,-0.0010172839581216312,0.03467820904019275,0.0,0.0,0.0,0.0,0.03467820625937446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,00000100000000000,1,3258,210,0.06445672191528545,0.015442610152884449,0.15160107480886892,0.0,0.0,0.0,0.0,0.0,0.15160109237193184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,6,00000010000000000,1,3258,171,0.052486187845303865,0.006550760741904149,0.0581110751724009,0.0,0.0,0.0,0.0,0.0,0.0,0.05811107429424775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,7,00000001000000000,1,3258,220,0.06752608962553713,0.018476188146241097,0.18295006784213108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1829500719401791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,8,00000000100000000,1,3258,406,0.12461632903621854,0.07516008948460176,0.16294043630526212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16294043513439124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,9,00000000010000000,1,3258,1707,0.5239410681399632,0.4330045162643517,0.32319475903402745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323194770742736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,00000000001000000,1,3258,214,0.06568446899938613,0.018463117641638657,0.21452648731885035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21452650019842984,0.0,0.0,0.0,0.0,0.0,0.0
0,11,00000000000100000,1,3258,161,0.04941682013505218,0.0012525983504662857,0.10841757187161291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1084175660172586,0.0,0.0,0.0,0.0,0.0
0,12,00000000000010000,1,3258,166,0.050951503990178025,0.000537048783176164,0.029666265583682308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029666262217428584,0.0,0.0,0.0,0.0
0,13,00000000000001000,1,3258,901,0.2765500306936771,0.21546985562993676,0.271438577557137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27143856350668666,0.0,0.0,0.0
0,14,00000000000000100,1,3258,251,0.07704112952731737,0.025164152669935887,0.14260339941840877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14260340234558594,0.0,0.0
0,15,00000000000000010,1,3258,557,0.17096378146101904,0.1441944361172109,0.4453242625686711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4453243023782804,0.0
0,16,00000000000000001,1,3258,783,0.24033149171270718,0.18770382637037977,0.12823594575136113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12823593696982968
1,0,10000000000000000,1,3252,518,0.15928659286592867,0.028552416579163235,0.14511724181134175,0.1451172330136082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,01000000000000000,1,3252,390,0.11992619926199262,0.007942625389034605,0.08632958184602368,0.0,0.08632957656738356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,00100000000000000,1,3252,629,0.19341943419434193,0.06734118954281966,0.1119098956587863,0.0,0.0,0.11190988920711503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,00010000000000000,1,3252,471,0.1448339483394834,0.020097260233954164,0.046467504524803395,0.0,0.0,0.0,0.04646750525794786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,00001000000000000,1,3252,369,0.11346863468634687,0.0008008375427104891,0.030745465230531212,0.0,0.0,0.0,0.0,0.030745466110304567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,00000100000000000,1,3252,435,0.13376383763837638,0.023623096620318047,0.0997193408041716,0.0,0.0,0.0,0.0,0.0,0.09971934139068717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6,00000010000000000,1,3252,506,0.15559655596555966,0.03323401178967615,0.21613622738133204,0.0,0.0,0.0,0.0,0.0,0.0,0.21613620743980266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,7,00000001000000000,1,3252,434,0.13345633456334563,0.021489745283185483,0.19644133601827962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19644134657555987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8,00000000100000000,1,3252,679,0.20879458794587946,0.08788388329678357,0.1476811576740035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1476811652987059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,00000000010000000,1,3252,805,0.247539975399754,0.13308604499657362,0.1523996496259213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15239964493379676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,00000000001000000,1,3252,567,0.17435424354243542,0.05231241399804898,0.21044717884884842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21044716242641248,0.0,0.0,0.0,0.0,0.0,0.0
1,11,00000000000100000,1,3252,468,0.14391143911439114,0.02523485386943465,0.19559237584563346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19559236763441548,0.0,0.0,0.0,0.0,0.0
1,12,00000000000010000,1,3252,376,0.11562115621156212,0.00394792481798674,0.07499025316695886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07499025111415436,0.0,0.0,0.0,0.0
1,13,00000000000001000,1,3252,759,0.2333948339483395,0.10689023001460865,0.17196607882979464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1719660758972168,0.0,0.0,0.0
1,14,00000000000000100,1,3252,1513,0.46525215252152524,0.2914006771636625,0.4168837431172163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41688378534633735,0.0,0.0
1,15,00000000000000010,1,3252,1474,0.453259532595326,0.25149162287788346,0.784926969333475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7849269740255996,0.0
1,16,00000000000000001,1,3252,1185,0.3643911439114391,0.22434792747356794,0.13655257313013958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13655257899529527
2,0,10000000000000000,1,3256,1443,0.4431818181818182,0.3138042913900839,0.6848266400049008,0.6848266118867391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,01000000000000000,1,3256,369,0.11332923832923833,0.02180838621512092,0.1177878069350409,0.0,0.11778780400606573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,00100000000000000,1,3256,438,0.1345208845208845,0.043715936545950775,0.11119711486947624,0.0,0.0,0.11119711604106632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3,00010000000000000,1,3256,688,0.2113022113022113,0.12275864451171725,0.0968866389272254,0.0,0.0,0.0,0.09688663658404525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,00001000000000000,1,3256,308,0.0945945945945946,0.0006538014012304219,0.025874415398815635,0.0,0.0,0.0,0.0,0.025874417302649496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,00000100000000000,1,3256,336,0.10319410319410319,0.012989341004474743,0.11446783993695234,0.0,0.0,0.0,0.0,0.0,0.11446783232161688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,00000010000000000,1,3256,349,0.10718673218673219,0.010864289536962345,0.11944247698022341,0.0,0.0,0.0,0.0,0.0,0.0,0.11944246760750285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7,00000001000000000,1,3256,355,0.10902948402948404,0.014345187629762973,0.17318714807308863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17318716564693967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,00000000100000000,1,3256,411,0.12622850122850124,0.03243021165416633,0.07393699840480045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07393699986928803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9,00000000010000000,1,3256,513,0.15755528255528256,0.06767110449676139,0.14191708342156187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14191708576474202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10,00000000001000000,1,3256,670,0.20577395577395577,0.09917159279675683,0.44832811425886226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4483281189452225,0.0,0.0,0.0,0.0,0.0,0.0
2,11,00000000000100000,1,3256,348,0.10687960687960688,0.010463958034058462,0.07663686767550007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07663686533231993,0.0,0.0,0.0,0.0,0.0
2,12,00000000000010000,1,3256,305,0.09367321867321868,0.0013681575999176473,0.04850128036752087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04850128109976466,0.0,0.0,0.0,0.0
2,13,00000000000001000,1,3256,669,0.20546683046683048,0.10159803139782655,0.12328530119443701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12328531173874764,0.0,0.0,0.0
2,14,00000000000000100,1,3256,1698,0.5214987714987716,0.38147680765287884,0.26291534531614413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2629153464877342,0.0,0.0
2,15,00000000000000010,1,3256,378,0.1160933660933661,0.02039548264088736,0.12085811160413287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1208581086751577,0.0
2,16,00000000000000001,1,3256,1123,0.3449017199017199,0.20796361660781598,0.27277188804870156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27277189273506186
3,0,10000000000000000,1,3203,993,0.3100218545113956,0.22081283416890965,0.3321838593281994,0.33218382359890875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,01000000000000000,1,3203,171,0.05338744926631283,0.019269831881015477,0.31226121519566924,0.0,0.3122611830393076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,00100000000000000,1,3203,492,0.1536059943802685,0.11864579814395196,0.2877186344371823,0.0,0.0,0.2877186213364424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,00010000000000000,1,3203,732,0.22853574773649704,0.21734494207205343,0.2833372741946942,0.0,0.0,0.0,0.2833372682398124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4,00001000000000000,1,3203,133,0.04152357165157665,-0.00010169853575241555,0.02180471749295304,0.0,0.0,0.0,0.0,0.021804716674156795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,00000100000000000,1,3203,139,0.04339681548548236,0.004395992791991364,0.11651217234049073,0.0,0.0,0.0,0.0,0.0,0.11651217769988433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6,00000010000000000,1,3203,186,0.05807055885107711,0.01992507878594424,0.2554339570549552,0.0,0.0,0.0,0.0,0.0,0.0,0.25543398802034045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7,00000001000000000,1,3203,179,0.05588510771152045,0.013646575349813098,0.23727496787603297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23727497740384382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,8,00000000100000000,1,3203,674,0.2104277240087418,0.1709855770714909,0.22563916699721817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22563919200772165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,00000000010000000,1,3203,576,0.1798314080549485,0.13667688301269837,0.3309458215423498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33094583702504243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10,00000000001000000,1,3203,129,0.04027474242897284,0.0007801009129815425,0.05225626111514413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05225626171063231,0.0,0.0,0.0,0.0,0.0,0.0
3,11,00000000000100000,1,3203,312,0.09740867936309709,0.04784583539245205,0.30453057219153673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30453054837200966,0.0,0.0,0.0,0.0,0.0
3,12,00000000000010000,1,3203,134,0.0418357789572276,0.0017327960584076576,0.0875131355164165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08751313670739284,0.0,0.0,0.0,0.0
3,13,00000000000001000,1,3203,845,0.26381517327505466,0.21626148944417647,0.19243329560574315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19243329084183772,0.0,0.0,0.0
3,14,00000000000000100,1,3203,320,0.09990633780830471,0.06739122138855572,0.39536830867561296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39536833725904547,0.0,0.0
3,15,00000000000000010,1,3203,200,0.062441461130190445,0.02265359683219917,0.1135952360288374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11359523424237288,0.0
3,16,00000000000000001,1,3203,105,0.032781767093349984,-0.007740630466715455,0.07566643892658007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07566643714011553
